id,site,is_active,is_new,first_date,last_date,days_online,url,type,nb_units,nb_units_residential,nb_units_commercial,lat,lng,address,city,borough,first_price,last_price,is_price_changed,potential_revenue
21133663,centris,0,1,2020-03-29,2020-03-31,2,https://www.centris.ca/en/triplexes~for-sale~sainte-julie/21133663?view=Summary,Triplex,3.0,,,45.57083695,-73.32712029,"484 - 488, Place de la Mitrelle",Sainte-Julie,,539000.0,539000.0,0,32880.0
26909396,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~sainte-catherine/26909396?view=Summary,Triplex,3.0,,,45.39637553,-73.57754287,"1420 - 1424, Rue de l'Union",Sainte-Catherine,,499000.0,499000.0,0,29976.0
24423808,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/4plex~for-sale~longueuil-saint-hubert/24423808?view=Summary,Quadruplex,4.0,,,45.497925,-73.40540899999998,"1540 - 1544, Rue Albert",Longueuil,Saint-Hubert,550000.0,525000.0,1,34380.0
14010325,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~salaberry-de-valleyfield/14010325?view=Summary,Duplex,2.0,,,45.29158624,-74.04203908,"164 - 166, Rue Saint-Laurent",Salaberry-de-Valleyfield,,359900.0,349900.0,1,23400.0
10617750,centris,0,0,2020-03-29,2020-05-01,33,https://www.centris.ca/en/4plex~for-sale~saint-jean-sur-richelieu/10617750?view=Summary,Quadruplex,4.0,,,45.31967056,-73.2707802,"396 - 402, Rue Lebeau",Saint-Jean-sur-Richelieu,,605000.0,605000.0,0,37140.0
17107374,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~granby/17107374?view=Summary,Duplex,2.0,,,45.3996536,-72.75625359,"681 - 683, Rue Caron",Granby,,225000.0,205000.0,1,15120.0
22738074,centris,0,0,2020-03-29,2020-04-26,28,https://www.centris.ca/en/duplexes~for-sale~longueuil-saint-hubert/22738074?view=Summary,Duplex,2.0,,,45.50002832,-73.46131666,"1390 - 1392, Rue Nielsen",Longueuil,Saint-Hubert,284900.0,284900.0,0,15600.0
23826594,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/triplexes~for-sale~salaberry-de-valleyfield/23826594?view=Summary,Triplex,3.0,,,45.24793158,-74.13877144,"135 - 137, Rue Marie-Rose",Salaberry-de-Valleyfield,,309000.0,309000.0,0,22800.0
22812420,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/4plex~for-sale~chateauguay/22812420?view=Summary,Quadruplex,4.0,,,45.36260553,-73.73834768,"72 - 72C, Avenue Normand",Châteauguay,,450000.0,450000.0,0,34800.0
22587699,centris,1,0,2020-03-29,2020-05-28,60,https://www.centris.ca/en/duplexes~for-sale~sorel-tracy/22587699?view=Summary,Duplex,2.0,,,46.04393724,-73.11201864,"93 - 93B, Rue Charlotte",Sorel-Tracy,,114900.0,114900.0,0,14604.0
